X,Y,displacement_x,displacement_y,displacement_z
-215.53571428571428,-518.05,-2.5195737561303515e-19,-3.910857921226165e-18,4.846822806219967e-19
-213.0294486215539,-518.05,-5.800311365993034e-19,-1.9934151315824908e-17,4.021062276016266e-18
-210.5231829573935,-518.05,-1.754563914344117e-18,-5.69773499884598e-17,1.1509505012200892e-17
-208.01691729323312,-518.05,-3.167761148666962e-18,-9.580046962465884e-17,1.90349759637134e-17
-205.5106516290727,-518.05,-7.464376067145675e-19,-1.5936631488613327e-17,3.2591420323397863e-18
-203.00438596491227,-518.05,-2.3588799928662137e-18,-3.7207256652506255e-17,7.649214432594001e-18
-200.4981203007519,-518.05,-1.5499572900237468e-18,-2.6245437103773487e-17,5.449648943600478e-18
-197.99185463659148,-518.05,-7.271050926922878e-18,-1.0130873890122881e-16,1.9249696314630176e-17
-195.48558897243112,-518.05,-2.691920082394041e-18,-3.155192555135639e-17,6.2222825673017826e-18
-192.9793233082707,-518.05,-2.3261995747238757e-18,-2.5578126182803278e-17,5.497194347829687e-18
-190.47305764411027,-518.05,-5.8225791362498835e-18,-6.419631610923179e-17,1.5188122723530303e-17
-187.9667919799499,-518.05,-7.58247362352809e-18,-1.0285054356917473e-16,5.575947253297527e-17
-185.46052631578948,-518.05,-6.77796013037149e-18,-8.0017174288987e-17,4.407621829651388e-17
-182.9542606516291,-518.05,-5.444101117012665e-18,-5.696321427499881e-17,3.1926434055644617e-17
-180.4479949874687,-518.05,-9.747108510360491e-20,-1.1458614602747075e-18,4.509245665644414e-19
-177.94172932330827,-518.05,-3.556071875221049e-19,-4.4742169734828904e-18,1.1098639572069246e-18
-175.4354636591479,-518.05,-6.789873527211565e-19,-7.746695523041634e-18,1.7535635007456328e-18
-172.92919799498748,-518.05,-1.074011368859099e-18,-1.0988609350741039e-17,2.1865189127716298e-18
-170.4229323308271,-518.05,-1.6489126266183608e-18,-1.5596181757036462e-17,1.9318579097672067e-18
-167.91666666666669,-518.05,-6.272288981092377e-18,-6.075764068894863e-17,5.895126061755733e-18
-165.41040100250626,-518.05,-4.393189379291857e-18,-3.77287136730502e-17,-1.1722150125911082e-17
-162.9041353383459,-518.05,-7.41970482732608e-18,-6.585760342654826e-17,6.756812009721204e-18
-160.39786967418547,-518.05,-3.565838087312852e-18,-2.865676684434041e-17,3.617680980388615e-18
-157.8916040100251,-518.05,-8.931937225968547e-18,-1.040383523483255e-16,-1.7689349647352897e-17
-155.38533834586468,-518.05,-6.3628693795224105e-18,-6.138704353621212e-17,-1.3704929616178034e-17
-152.87907268170426,-518.05,-2.5355514403917587e-18,-2.082529965109699e-17,-5.604415604028523e-18
-150.3728070175439,-518.05,-3.4200151435457235e-19,-2.249102974184256e-18,7.661040213824926e-19
-147.86654135338347,-518.05,-1.5895573781841725e-18,-1.1281875611859713e-17,2.7592626632310972e-18
-145.3602756892231,-518.05,-4.768735956208319e-18,-3.9126515166622614e-17,2.1484370153224317e-17
-142.85401002506268,-518.05,-1.3165012917827692e-18,-9.675043383164692e-18,5.684171765768942e-18
-140.34774436090225,-518.05,-2.910977050775398e-18,-1.9780166400663745e-17,1.1102934797428924e-17
-137.8414786967419,-518.05,-4.8167365129303075e-18,-3.0089197885480945e-17,1.7171165807723833e-17
-135.33521303258146,-518.05,-1.400212237123616e-17,-9.344004467621279e-17,1.0733142111594068e-17
-132.8289473684211,-518.05,-1.1300990069386633e-17,-7.355109420148083e-17,7.816733504417343e-18
-130.32268170426067,-518.05,-8.08079130096451e-18,-5.129883970242491e-17,4.95484938722511e-18
-127.81641604010025,-518.05,-1.1999483903146345e-18,-9.024607945655825e-18,-1.977390441268696e-18
-125.31015037593988,-518.05,-4.102368374418695e-19,-2.462937701880735e-18,4.569821189314659e-19
-122.80388471177946,-518.05,-2.7515900137817797e-18,-1.631127288968321e-17,2.0456363213062663e-18
-120.2976190476191,-518.05,-1.9333593690490267e-18,-1.422811063651455e-17,5.225491968424133e-18
-117.79135338345867,-518.05,-1.3422065928490331e-18,-1.0444996908480388e-17,3.1362941888219233e-18
-115.28508771929825,-518.05,-7.612167750637521e-19,-6.3395001724134e-18,1.282158359750622e-18
-112.77882205513788,-518.05,-2.2486854192784008e-18,-1.4902023274610267e-17,5.6740562172844205e-18
-110.27255639097746,-518.05,-8.142728821672685e-18,-5.060331943244888e-17,2.0613387589266225e-17
-107.76629072681709,-518.05,-1.453496373517261e-17,-8.489710303101415e-17,3.701617170393906e-17
-105.26002506265667,-518.05,-1.5527619729882128e-17,-6.388010053772868e-17,1.3159478591467561e-17
-102.75375939849624,-518.05,-1.0102574649603116e-17,-4.076279738082965e-17,7.064071471497332e-18
-100.24749373433588,-518.05,-1.3872080347803912e-18,-6.7778582369888856e-18,-2.927042605470519e-18
-97.74122807017545,-518.05,-1.7570661088888625e-18,-9.033893303112925e-18,-1.7892514078018697e-18
-95.23496240601509,-518.05,-1.1708451473593068e-18,-5.965958617848423e-18,-1.312274563115836e-18
-92.72869674185466,-518.05,-5.559140947036997e-19,-2.720509858462044e-18,-8.889031617977781e-19
-90.22243107769424,-518.05,-2.6904730850395254e-18,-1.1716487094640468e-17,7.237111854444457e-19
-87.71616541353387,-518.05,-8.554319812188702e-18,-3.683973490174493e-17,2.335500457636467e-18
-85.20989974937345,-518.05,-1.4406230844891446e-17,-6.136593495995931e-17,4.334819024581554e-18
-82.70363408521308,-518.05,-2.0085153664825163e-17,-8.489523867105901e-17,6.737459766969232e-18
-80.19736842105266,-518.05,-3.633123943735846e-18,-1.5315199648273728e-17,3.066641265555045e-19
-77.69110275689223,-518.05,-1.5564930387854052e-18,-7.023430065956716e-18,-2.9240621510243903e-19
-75.18483709273187,-518.05,-7.712973952574095e-19,-3.715909969084557e-18,-1.771435537216947e-18
-72.67857142857144,-518.05,-3.2446197435734873e-18,-1.7029495037775342e-17,-5.6896536452506915e-18
-70.17230576441108,-518.05,-2.3839622799510446e-18,-1.1500181217526734e-17,3.2885730029063366e-18
-67.66604010025065,-518.05,-1.5920285316560593e-18,-7.182485266630823e-18,2.2943811461598773e-18
-65.15977443609023,-518.05,-4.3116158138339125e-18,-1.9683383922885108e-17,3.75717244620214e-18
-62.653508771929864,-518.05,-7.333486531228714e-18,-3.29203297920367e-17,5.0467277702183365e-18
-60.14724310776944,-518.05,-2.8751781139833032e-18,-1.1183943197650627e-17,-1.6570772493970246e-18
-57.640977443609074,-518.05,-8.680786831572838e-18,-3.338198006703806e-17,-4.978719428121599e-18
-55.13471177944865,-518.05,-1.0988405454611287e-17,-4.10173028432561e-17,-6.799945627609128e-18
-52.62844611528823,-518.05,-3.601373014578191e-18,-1.3903819135202402e-17,-1.8720873070367522e-18
